session_id,perfil_usuario,tipo_dispositivo,dia_semana,faixa_horaria,origem_acesso,objetivo_sessao,pageviews,tempo_busca_segundos,tempo_leitura_segundos,tempo_total_segundos,usou_busca,clicou_comunicado,clicou_link_operacional,sucesso_encontrou_o_que_queria,tipo_conteudo_principal,numero_interacoes,proporcao_tempo_leitura,abandono_rapido
1,Administrativo,desktop,quinta,11-14,home_direta,buscar_sistema,3,17.85,17.9,44.01,0,0,1,1,Site Page,4,0.4067,0
2,Pesquisador,desktop,segunda,08-11,busca_interna,ler_comunicado,3,12.95,34.44,64.99,1,0,0,0,News Post,4,0.5299,0
3,Operacional,desktop,terca,06-08,home_direta,acompanhar_noticias,3,5.86,105.13,178.53,0,1,0,0,News Post,4,0.5889,0
4,Tecnico,desktop,sexta,11-14,home_direta,acompanhar_noticias,1,20.05,22.49,49.73,0,1,0,1,News Post,2,0.4522,0
5,Pesquisador,desktop,segunda,14-17,atalho_sistema,buscar_documento,1,33.84,41.79,100.5,0,0,1,1,Document,2,0.4158,0
6,Pesquisador,desktop,quinta,08-11,busca_interna,buscar_documento,4,89.32,38.7,151.38,1,0,1,0,Document,6,0.2556,0
7,Administrativo,desktop,quarta,06-08,home_direta,buscar_sistema,3,55.39,17.98,79.97,0,0,1,0,Site Page,4,0.2248,0
8,Tecnico,desktop,sexta,08-11,busca_interna,acompanhar_noticias,3,20.62,103.17,134.33,1,0,0,1,News Post,4,0.768,0
9,Administrativo,desktop,terca,06-08,atalho_sistema,buscar_sistema,5,8.55,24.15,46.66,0,0,1,1,Site Page,6,0.5176,0
10,Operacional,desktop,segunda,08-11,home_direta,buscar_pessoa,2,102.85,50.09,156.4,0,0,0,1,Site Page,2,0.3203,0
11,Pesquisador,desktop,terca,08-11,busca_interna,buscar_documento,1,25.13,22.5,52.72,1,0,1,1,Document,3,0.4268,0
12,Operacional,desktop,terca,06-08,atalho_sistema,buscar_pessoa,4,70.84,28.67,122.66,1,0,0,1,Site Page,5,0.2337,0
13,Tecnico,desktop,sexta,14-17,home_direta,ler_comunicado,2,9.33,49.75,102.46,0,1,0,1,News Post,3,0.4856,0
14,Tecnico,desktop,terca,14-17,atalho_sistema,ler_comunicado,2,10.12,45.19,61.87,0,1,0,1,News Post,3,0.7304,0
15,Operacional,desktop,sexta,08-11,busca_interna,acompanhar_noticias,2,15.51,64.18,90.84,1,1,0,0,News Post,4,0.7065,0
16,Administrativo,desktop,domingo,14-17,busca_interna,buscar_sistema,2,80.86,27.22,125.8,1,0,0,1,Site Page,3,0.2164,0
17,Tecnico,mobile_app,segunda,08-11,link_email,acompanhar_noticias,7,24.46,48.26,105.06,0,1,0,0,News Post,8,0.4594,0
18,Administrativo,desktop,segunda,11-14,link_email,buscar_sistema,2,42.31,14.36,66.83,0,0,1,0,Site Page,3,0.2149,0
19,Pesquisador,desktop,segunda,06-08,link_email,ler_comunicado,6,5.78,183.78,199.72,0,1,0,1,News Post,7,0.9202,0
20,Tecnico,desktop,terca,17-20,busca_interna,buscar_pessoa,2,45.84,52.47,105.58,1,0,0,1,Site Page,3,0.497,0
21,Pesquisador,desktop,sexta,14-17,home_direta,ler_comunicado,3,16.38,152.6,181.02,0,1,0,1,News Post,4,0.843,0
22,Operacional,desktop,segunda,06-08,home_direta,acompanhar_noticias,7,8.75,64.62,81.25,0,1,0,1,News Post,8,0.7953,0
23,Operacional,desktop,sexta,08-11,atalho_sistema,buscar_sistema,3,40.02,31.14,84.28,0,0,0,0,Site Page,3,0.3695,0
24,Administrativo,desktop,sexta,08-11,link_email,ler_comunicado,6,9.31,77.51,98.86,0,1,0,1,News Post,7,0.784,0
25,Tecnico,desktop,terca,08-11,link_email,ler_comunicado,3,3.45,171.73,185.56,0,0,0,1,News Post,3,0.9255,0
26,Tecnico,desktop,segunda,06-08,home_direta,ler_comunicado,2,11.74,139.06,159.79,0,0,0,0,News Post,2,0.8703,0
27,Tecnico,desktop,segunda,14-17,busca_interna,buscar_sistema,2,37.51,23.83,92.59,1,0,0,0,Site Page,3,0.2574,0
28,Administrativo,desktop,sexta,08-11,home_direta,acompanhar_noticias,4,17.53,63.84,95.27,0,0,0,1,News Post,4,0.6701,0
29,Tecnico,desktop,quinta,11-14,home_direta,acompanhar_noticias,5,3.82,39.83,50.57,0,1,0,0,News Post,6,0.7876,0
30,Tecnico,desktop,terca,14-17,home_direta,ler_comunicado,7,8.75,70.78,90.15,0,0,0,0,News Post,7,0.7851,0
31,Pesquisador,desktop,quarta,20-06,atalho_sistema,acompanhar_noticias,2,12.57,65.46,113.95,0,1,0,0,News Post,3,0.5745,0
32,Pesquisador,desktop,segunda,17-20,home_direta,buscar_sistema,2,29.18,28.37,105.17,0,0,1,1,Site Page,3,0.2698,0
33,Operacional,desktop,quarta,14-17,home_direta,ler_comunicado,4,3.75,163.1,191.59,0,1,0,1,News Post,5,0.8513,0
34,Tecnico,desktop,quinta,14-17,home_direta,acompanhar_noticias,5,10.31,24.96,56.78,0,0,0,1,News Post,5,0.4396,0
35,Pesquisador,desktop,segunda,11-14,busca_interna,buscar_documento,2,40.79,15.25,68.29,1,0,0,1,Document,3,0.2233,0
36,Administrativo,desktop,segunda,14-17,home_direta,ler_comunicado,2,5.13,103.32,131.24,0,0,0,1,News Post,2,0.7873,0
37,Administrativo,desktop,quinta,08-11,link_email,buscar_documento,4,136.33,4.94,147.86,1,0,1,1,Document,6,0.0334,0
38,Administrativo,desktop,terca,06-08,link_email,acompanhar_noticias,4,7.02,41.92,86.2,0,1,0,1,News Post,5,0.4863,0
39,Administrativo,desktop,quinta,08-11,link_email,acompanhar_noticias,2,9.85,37.49,53.82,0,1,0,1,News Post,3,0.6966,0
40,Administrativo,desktop,domingo,06-08,atalho_sistema,buscar_documento,1,18.2,33.68,67.48,0,0,0,1,Document,1,0.4991,0
41,Pesquisador,desktop,segunda,08-11,link_email,ler_comunicado,2,5.29,75.15,148.14,0,1,0,1,News Post,3,0.5073,0
42,Pesquisador,desktop,domingo,08-11,home_direta,buscar_pessoa,3,10.94,30.52,52.8,0,0,0,0,Site Page,3,0.578,0
43,Pesquisador,desktop,sabado,08-11,link_email,buscar_documento,2,22.27,17.83,59.87,0,0,0,1,Document,2,0.2978,0
44,Operacional,desktop,sexta,08-11,busca_interna,ler_comunicado,5,31.27,73.83,128.08,1,1,0,0,News Post,7,0.5764,0
45,Tecnico,desktop,segunda,14-17,link_email,ler_comunicado,3,16.13,91.94,118.13,0,0,0,1,News Post,3,0.7783,0
46,Operacional,desktop,quarta,14-17,home_direta,buscar_sistema,5,38.77,8.44,82.72,0,0,0,0,Site Page,5,0.102,0
47,Pesquisador,desktop,quarta,11-14,atalho_sistema,buscar_documento,3,69.17,55.0,161.65,0,0,1,0,Document,4,0.3402,0
48,Administrativo,desktop,domingo,14-17,atalho_sistema,buscar_sistema,3,18.55,46.65,73.37,0,0,0,1,Site Page,3,0.6358,0
49,Administrativo,desktop,sabado,08-11,atalho_sistema,buscar_sistema,2,6.02,20.9,38.0,0,0,1,1,Site Page,3,0.55,0
50,Pesquisador,desktop,segunda,20-06,busca_interna,buscar_documento,3,80.07,15.34,116.99,1,0,1,1,Document,5,0.1311,0
51,Pesquisador,desktop,quarta,11-14,link_email,buscar_documento,3,28.82,21.05,61.71,0,0,1,1,Document,4,0.3411,0
52,Administrativo,desktop,segunda,14-17,home_direta,ler_comunicado,2,10.37,77.81,100.22,0,1,0,1,News Post,3,0.7764,0
53,Pesquisador,desktop,terca,14-17,atalho_sistema,acompanhar_noticias,4,4.79,157.4,166.38,0,1,0,1,News Post,5,0.946,0
54,Pesquisador,desktop,quarta,11-14,home_direta,ler_comunicado,6,5.66,241.14,268.36,0,0,0,1,News Post,6,0.8986,0
55,Operacional,mobile_web,quarta,08-11,home_direta,ler_comunicado,2,21.78,96.24,127.07,0,0,0,1,News Post,2,0.7574,0
56,Operacional,desktop,quinta,11-14,home_direta,acompanhar_noticias,3,14.37,74.48,96.01,0,0,0,1,News Post,3,0.7758,0
57,Pesquisador,desktop,terca,08-11,busca_interna,buscar_sistema,4,82.36,8.68,104.32,1,0,1,1,Site Page,6,0.0832,0
58,Tecnico,desktop,segunda,14-17,atalho_sistema,buscar_sistema,4,17.1,8.52,54.6,0,0,1,0,Site Page,5,0.156,0
59,Pesquisador,desktop,quarta,08-11,atalho_sistema,ler_comunicado,6,12.77,69.81,101.07,0,1,0,0,News Post,7,0.6907,0
60,Administrativo,desktop,sexta,08-11,home_direta,buscar_pessoa,1,23.6,24.67,57.24,0,0,0,0,Site Page,1,0.431,0
61,Pesquisador,desktop,quarta,14-17,busca_interna,buscar_documento,2,57.13,46.49,112.29,1,0,0,0,Document,3,0.414,0
62,Operacional,mobile_web,sexta,08-11,link_email,ler_comunicado,1,16.65,37.29,59.11,0,1,0,1,News Post,2,0.6309,0
63,Pesquisador,mobile_web,quarta,08-11,home_direta,buscar_sistema,1,94.52,14.5,138.4,0,0,0,1,Site Page,1,0.1048,0
64,Pesquisador,desktop,segunda,14-17,home_direta,ler_comunicado,7,16.96,54.4,92.35,0,0,0,1,News Post,7,0.5891,0
65,Tecnico,desktop,segunda,14-17,home_direta,buscar_documento,4,9.39,11.54,45.64,0,0,0,1,Document,4,0.2528,0
66,Pesquisador,desktop,segunda,14-17,link_email,ler_comunicado,6,5.33,123.12,146.63,0,1,0,1,News Post,7,0.8397,0
67,Operacional,desktop,quinta,11-14,home_direta,buscar_documento,1,22.41,26.79,79.28,0,0,0,0,Document,1,0.3379,0
68,Operacional,desktop,segunda,08-11,atalho_sistema,acompanhar_noticias,4,7.92,55.8,100.89,0,1,0,1,News Post,5,0.5531,0
69,Tecnico,desktop,segunda,17-20,home_direta,ler_comunicado,3,6.59,79.07,103.15,0,1,0,1,News Post,4,0.7666,0
70,Administrativo,desktop,sexta,11-14,busca_interna,buscar_documento,2,40.89,36.2,103.44,1,0,0,1,Document,3,0.35,0
71,Tecnico,desktop,terca,17-20,busca_interna,buscar_documento,3,53.25,28.39,92.63,1,0,0,1,Document,4,0.3065,0
72,Tecnico,desktop,sexta,08-11,home_direta,acompanhar_noticias,6,14.22,54.06,90.35,0,0,0,1,News Post,6,0.5983,0
73,Pesquisador,desktop,quinta,08-11,busca_interna,buscar_documento,3,50.64,21.26,83.52,1,0,1,1,Document,5,0.2545,0
74,Pesquisador,desktop,sexta,14-17,busca_interna,buscar_documento,2,37.39,103.67,154.17,1,0,1,1,Document,4,0.6724,0
75,Pesquisador,desktop,quarta,06-08,home_direta,ler_comunicado,3,6.32,100.98,140.94,0,1,0,0,News Post,4,0.7165,0
76,Pesquisador,desktop,quinta,14-17,atalho_sistema,buscar_sistema,3,40.86,21.79,94.73,0,0,1,1,Site Page,4,0.23,0
77,Tecnico,desktop,segunda,08-11,atalho_sistema,buscar_documento,1,82.87,42.51,198.76,1,0,0,1,Document,2,0.2139,0
78,Operacional,mobile_web,quinta,08-11,home_direta,acompanhar_noticias,5,11.36,23.03,37.22,0,1,0,1,News Post,6,0.6188,0
79,Operacional,desktop,quarta,08-11,atalho_sistema,acompanhar_noticias,6,32.44,58.35,101.33,0,1,0,1,News Post,7,0.5758,0
80,Operacional,desktop,quarta,08-11,home_direta,acompanhar_noticias,5,11.65,63.97,89.76,0,1,0,0,News Post,6,0.7127,0
81,Administrativo,desktop,quinta,14-17,home_direta,buscar_sistema,7,12.13,20.16,40.71,0,0,1,1,Site Page,8,0.4952,0
82,Operacional,desktop,segunda,08-11,busca_interna,buscar_pessoa,1,63.66,28.32,103.99,1,0,0,1,Site Page,2,0.2723,0
83,Tecnico,desktop,segunda,08-11,home_direta,ler_comunicado,4,14.4,87.63,107.96,0,1,0,0,News Post,5,0.8117,0
84,Tecnico,desktop,quinta,14-17,home_direta,buscar_sistema,4,16.07,29.31,72.03,0,0,0,1,Site Page,4,0.4069,0
85,Tecnico,desktop,quarta,08-11,atalho_sistema,ler_comunicado,4,7.88,32.11,42.54,0,1,0,1,News Post,5,0.7548,0
86,Administrativo,desktop,quarta,08-11,atalho_sistema,buscar_sistema,4,12.36,8.04,47.33,0,0,1,0,Site Page,5,0.1699,0
87,Tecnico,desktop,domingo,06-08,home_direta,buscar_documento,2,94.01,21.9,135.81,0,0,0,1,Document,2,0.1613,0
88,Pesquisador,desktop,terca,14-17,home_direta,ler_comunicado,3,10.48,43.27,68.19,0,1,0,1,News Post,4,0.6346,0
89,Administrativo,desktop,domingo,08-11,busca_interna,buscar_pessoa,1,28.31,28.66,71.79,1,0,0,0,Site Page,2,0.3992,0
